family_accession,family_id
PF05199.13,GMC_oxred_C
PF11103.8,DUF2887
PF13005.7,zf-IS66
PF02261.16,Asp_decarbox
PF00630.19,Filamin
PF13567.6,DUF4131
PF06094.12,GGACT
PF06335.12,DUF1054
PF06580.13,His_kinase
PF01379.20,Porphobil_deam
PF01484.17,Col_cuticle_N
PF09148.10,DUF1934
PF09351.10,DUF1993
PF01346.18,FKBP_N
PF07862.11,Nif11
PF10034.9,Dpy19
PF06160.12,EzrA
PF01934.17,DUF86
PF08544.13,GHMP_kinases_C
PF07950.11,DUF1691
PF14333.6,DUF4389
PF02580.16,Tyr_Deacylase
PF06971.13,Put_DNA-bind_N
PF11221.8,Med21
PF00688.18,TGFb_propeptide
PF02675.15,AdoMet_dc
PF01384.20,PHO4
PF00920.21,ILVD_EDD
PF06252.12,DUF1018
PF02397.16,Bac_transf
PF12416.8,DUF3668
PF01061.24,ABC2_membrane
PF14803.6,Nudix_N_2
PF05362.13,Lon_C
PF01268.19,FTHFS
PF06541.11,ABC_trans_CmpB
PF08423.11,Rad51
PF08669.11,GCV_T_C
PF14799.6,FAM195
PF16188.5,Peptidase_M24_C
PF04673.12,Cyclase_polyket
PF16220.5,DUF4880
PF05942.11,PaREP1
PF02934.15,GatB_N
PF11455.8,DUF3018
PF13277.6,YmdB
PF02502.18,LacAB_rpiB
PF03776.14,MinE
PF02159.15,Oest_recep
PF06096.11,Baculo_8kDa
PF02123.16,RdRP_4
PF04193.14,PQ-loop
PF14748.6,P5CR_dimer
PF07486.12,Hydrolase_2
PF00281.19,Ribosomal_L5
PF01341.17,Glyco_hydro_6
PF00040.19,fn2
PF00400.32,WD40
PF06089.12,Asparaginase_II
PF10865.8,DUF2703
PF01913.18,FTR
PF00388.19,PI-PLC-X
PF05033.16,Pre-SET
PF09578.10,Spore_YabQ
PF15985.5,KH_6
PF01242.19,PTPS
PF00683.17,TB
PF02806.18,Alpha-amylase_C
PF09368.10,Sas10
PF16842.5,RRM_occluded
PF05205.12,COMPASS-Shg1
PF12391.8,PCDO_beta_N
PF04085.14,MreC
PF10164.9,DUF2367
PF01016.19,Ribosomal_L27
PF11815.8,DUF3336
PF09350.10,DUF1992
PF01043.20,SecA_PP_bind
PF08079.12,Ribosomal_L30_N
PF02391.17,MoaE
PF03819.17,MazG
PF04709.12,AMH_N
PF13041.6,PPR_2
PF18335.1,SH3_13
PF02170.22,PAZ
PF14472.6,DUF4429
PF01070.18,FMN_dh
PF08711.11,Med26
PF01485.21,IBR
PF13404.6,HTH_AsnC-type
PF13356.6,Arm-DNA-bind_3
PF10135.9,Rod-binding
PF17676.1,Peptidase_S66C
PF02906.14,Fe_hyd_lg_C
PF07474.12,G2F
PF01135.19,PCMT
PF17304.2,DUF5353
PF09299.11,Mu-transpos_C
PF17727.1,CtsR_C
PF02308.16,MgtC
PF13894.6,zf-C2H2_4
PF00237.19,Ribosomal_L22
PF10985.8,DUF2805
PF02885.17,Glycos_trans_3N
PF17764.1,PriA_3primeBD
PF13276.6,HTH_21
PF04387.14,PTPLA
PF00499.20,Oxidored_q3
PF02375.17,JmjN
PF11929.8,DUF3447
PF03948.14,Ribosomal_L9_C
PF12836.7,HHH_3
PF07004.12,SHIPPO-rpt
PF17893.1,Cas9_b_hairpin
PF06940.11,DUF1287
PF13184.6,KH_5
PF10685.9,KGG
PF13129.6,DUF3953
PF08207.12,EFP_N
PF02417.15,Chromate_transp
PF06280.12,fn3_5
PF01052.20,FliMN_C
PF00250.18,Forkhead
PF13368.6,Toprim_C_rpt
PF16294.5,RSB_motif
PF13335.6,Mg_chelatase_C
PF00253.21,Ribosomal_S14
PF01250.17,Ribosomal_S6
